# Exercise 13
-------------------------------------------------------------------------
# List the date difference, in days, between AddressBook creation and modification dates


mysql>  SELECT
            DATE(createdOn), DATE(modifiedOn), DATEDIFF(modifiedOn, createdOn) AS days
        FROM
            AddressBook;

+-----------------+------------------+------+
| DATE(createdOn) | DATE(modifiedOn) | days |
| 2014-09-21      | 2014-09-18       |   -3 |
| 2015-10-03      | 2015-06-30       |  -95 |
| 2014-10-26      | 2015-12-26       |  426 |
| 2016-09-16      | 2015-02-22       | -572 |
| 2015-03-08      | 2014-10-04       | -155 |
| 2014-09-27      | 2015-10-06       |  374 |
| 2014-09-29      | 2016-09-15       |  717 |
| 2015-04-01      | 2014-11-09       | -143 |
| 2015-01-12      | 2016-06-27       |  532 |
| 2016-02-19      | 2014-12-31       | -415 |
| 2014-11-10      | 2015-07-29       |  261 |
| 2015-08-23      | 2015-04-11       | -134 |
| 2016-06-23      | 2015-01-10       | -530 |
| 2015-04-08      | 2016-02-28       |  326 |
| 2014-11-27      | 2015-12-01       |  369 |
| 2016-05-07      | 2015-12-29       | -130 |
| 2015-02-12      | 2015-06-23       |  131 |
| 2016-02-02      | 2015-02-21       | -346 |
| 2016-06-14      | 2016-07-25       |   41 |
| 2016-01-19      | 2016-01-12       |   -7 |
| 2015-04-14      | 2015-01-10       |  -94 |
| 2015-03-26      | 2016-02-02       |  313 |
| 2015-07-31      | 2015-04-30       |  -92 |
| 2014-12-05      | 2016-04-16       |  498 |
| 2015-11-17      | 2014-11-01       | -381 |
| 2015-12-22      | 2015-11-13       |  -39 |
| 2015-05-10      | 2016-08-27       |  475 |
| 2016-07-09      | 2015-04-15       | -451 |
| 2015-11-06      | 2015-03-04       | -247 |
| 2014-09-20      | 2015-08-16       |  330 |
| 2015-03-28      | 2015-12-04       |  251 |
| 2016-03-25      | 2015-06-27       | -272 |
| 2016-09-06      | 2015-02-03       | -581 |
| 2014-12-02      | 2015-03-29       |  117 |
| 2016-06-08      | 2015-07-15       | -329 |
| 2015-09-30      | 2014-10-11       | -354 |
| 2015-12-22      | 2015-08-17       | -127 |
| 2014-10-22      | 2014-09-25       |  -27 |
| 2015-11-11      | 2016-04-24       |  165 |
| 2014-11-07      | 2016-06-09       |  580 |
| 2016-02-15      | 2016-01-12       |  -34 |
| 2015-02-22      | 2016-07-23       |  517 |
| 2015-04-02      | 2016-04-02       |  366 |
| 2015-10-15      | 2015-02-21       | -236 |
| 2016-07-22      | 2016-04-27       |  -86 |
| 2015-12-25      | 2014-11-19       | -401 |
| 2016-07-19      | 2015-04-16       | -460 |
| 2016-06-29      | 2016-09-16       |   79 |
| 2015-08-01      | 2015-11-20       |  111 |
| 2014-09-27      | 2015-02-01       |  127 |
| 2016-05-31      | 2015-02-04       | -482 |
| 2016-07-21      | 2016-04-23       |  -89 |
| 2014-10-25      | 2016-08-09       |  654 |
| 2015-11-08      | 2016-05-17       |  191 |
| 2015-10-16      | 2015-03-13       | -217 |
| 2015-02-14      | 2015-04-19       |   64 |
| 2016-09-04      | 2015-10-31       | -309 |
| 2016-09-16      | 2015-09-26       | -356 |
| 2015-09-19      | 2016-02-15       |  149 |
| 2015-08-23      | 2015-08-06       |  -17 |
| 2016-05-17      | 2015-06-17       | -335 |
| 2015-01-23      | 2014-11-04       |  -80 |
| 2015-04-07      | 2016-01-01       |  269 |
| 2015-05-27      | 2015-06-14       |   18 |
| 2014-12-29      | 2015-03-17       |   78 |
| 2016-01-16      | 2016-07-27       |  193 |
| 2015-10-08      | 2015-03-29       | -193 |
| 2014-12-11      | 2016-08-05       |  603 |
| 2015-10-02      | 2016-06-25       |  267 |
| 2016-08-08      | 2015-06-19       | -416 |
| 2015-09-07      | 2015-01-27       | -223 |
| 2016-05-23      | 2014-11-26       | -544 |
| 2015-11-17      | 2016-06-13       |  209 |
| 2014-11-15      | 2015-08-31       |  289 |
| 2015-09-12      | 2016-03-26       |  196 |
| 2015-11-11      | 2016-05-07       |  178 |
| 2016-03-21      | 2015-08-09       | -225 |
| 2016-04-22      | 2015-07-13       | -284 |
| 2014-10-25      | 2015-06-30       |  248 |
| 2016-02-26      | 2014-11-12       | -471 |
| 2014-12-06      | 2015-04-26       |  141 |
| 2015-01-21      | 2016-04-21       |  456 |
| 2014-11-24      | 2016-03-19       |  481 |
| 2016-02-18      | 2015-05-26       | -268 |
| 2016-05-27      | 2016-01-09       | -139 |
| 2015-07-09      | 2015-09-04       |   57 |
| 2016-06-25      | 2016-01-02       | -175 |
| 2015-02-13      | 2015-04-19       |   65 |
| 2015-12-08      | 2014-11-01       | -402 |
| 2014-10-12      | 2015-02-26       |  137 |
| 2016-07-16      | 2015-05-31       | -412 |
| 2015-07-12      | 2015-06-11       |  -31 |
| 2016-04-26      | 2015-07-02       | -299 |
| 2016-09-16      | 2016-03-29       | -171 |
| 2015-09-30      | 2015-11-22       |   53 |
| 2015-07-23      | 2015-10-18       |   87 |
| 2016-03-24      | 2016-07-21       |  119 |
| 2015-11-09      | 2016-06-23       |  227 |
| 2015-11-04      | 2015-04-20       | -198 |
| 2015-07-05      | 2015-01-31       | -155 |
| 2016-08-02      | 2016-08-12       |   10 |
| 2015-12-07      | 2015-11-13       |  -24 |
| 2015-07-03      | 2015-05-01       |  -63 |
| 2015-12-02      | 2015-10-10       |  -53 |
| 2015-02-03      | 2015-03-14       |   39 |
| 2015-07-09      | 2014-12-24       | -197 |
| 2015-04-20      | 2016-03-11       |  326 |
| 2015-11-18      | 2015-02-20       | -271 |
| 2016-08-28      | 2015-01-19       | -587 |
| 2016-09-09      | 2016-01-03       | -250 |
| 2014-10-30      | 2016-02-25       |  483 |
| 2016-09-01      | 2015-01-24       | -586 |
| 2015-11-05      | 2015-11-15       |   10 |
| 2015-01-22      | 2015-05-21       |  119 |
| 2015-10-07      | 2016-08-11       |  309 |
| 2016-08-12      | 2015-11-26       | -260 |
| 2015-10-23      | 2014-10-23       | -365 |
| 2014-09-19      | 2014-10-10       |   21 |
| 2015-10-23      | 2015-12-01       |   39 |
| 2015-06-01      | 2016-04-09       |  313 |
| 2015-10-02      | 2016-09-08       |  342 |
| 2016-06-20      | 2014-11-26       | -572 |
| 2014-12-01      | 2014-09-19       |  -73 |
| 2016-09-16      | 2016-08-18       |  -29 |
| 2016-02-16      | 2015-12-01       |  -77 |
| 2015-03-02      | 2015-08-26       |  177 |
| 2014-10-20      | 2016-02-06       |  474 |
| 2015-09-14      | 2016-04-10       |  209 |
| 2015-02-27      | 2015-06-30       |  123 |
| 2015-06-22      | 2015-09-28       |   98 |
| 2016-07-15      | 2014-09-18       | -666 |
| 2015-05-14      | 2016-05-24       |  376 |
| 2016-08-24      | 2015-05-13       | -469 |
| 2015-05-14      | 2015-02-15       |  -88 |
| 2015-09-26      | 2015-06-14       | -104 |
| 2015-10-26      | 2016-04-15       |  172 |
| 2015-11-16      | 2015-11-22       |    6 |
| 2015-10-14      | 2014-12-08       | -310 |
| 2015-11-28      | 2015-04-23       | -219 |
| 2015-12-29      | 2016-04-19       |  112 |
| 2016-08-17      | 2015-03-14       | -522 |
| 2014-12-28      | 2016-03-23       |  451 |
| 2016-05-11      | 2016-07-21       |   71 |
| 2016-02-06      | 2015-05-14       | -268 |
| 2016-09-07      | 2016-07-06       |  -63 |
| 2015-11-23      | 2015-06-15       | -161 |
| 2015-01-04      | 2014-12-20       |  -15 |
| 2015-06-15      | 2015-04-15       |  -61 |
| 2016-06-04      | 2015-05-19       | -382 |
| 2015-02-05      | 2016-07-29       |  540 |
| 2015-03-20      | 2016-02-27       |  344 |
| 2015-10-04      | 2016-04-26       |  205 |
| 2015-02-05      | 2015-12-05       |  303 |
| 2016-04-01      | 2015-10-18       | -166 |
| 2014-12-04      | 2015-04-24       |  141 |
| 2015-06-23      | 2015-01-15       | -159 |
| 2014-11-02      | 2015-12-20       |  413 |
| 2016-03-29      | 2016-05-28       |   60 |
| 2015-06-11      | 2015-03-09       |  -94 |
| 2016-04-06      | 2015-12-23       | -105 |
| 2015-01-31      | 2015-12-25       |  328 |
| 2014-11-24      | 2015-02-18       |   86 |
| 2015-10-18      | 2014-12-19       | -303 |
| 2015-02-26      | 2015-06-27       |  121 |
| 2015-02-28      | 2015-04-20       |   51 |
| 2016-02-16      | 2015-04-01       | -321 |
| 2015-02-13      | 2015-03-24       |   39 |
| 2015-05-03      | 2015-01-22       | -101 |
| 2015-12-17      | 2016-05-14       |  149 |
| 2016-04-25      | 2015-05-11       | -350 |
| 2014-10-11      | 2015-04-06       |  177 |
| 2014-10-15      | 2015-09-08       |  328 |
| 2015-04-03      | 2016-06-30       |  454 |
| 2015-02-23      | 2015-05-06       |   72 |
| 2016-06-08      | 2016-01-26       | -134 |
| 2016-08-04      | 2015-03-03       | -520 |
| 2015-12-24      | 2015-12-14       |  -10 |
| 2015-12-02      | 2014-12-12       | -355 |
| 2016-05-03      | 2015-09-04       | -242 |
| 2016-06-23      | 2015-07-02       | -357 |
| 2015-10-05      | 2016-03-12       |  159 |
| 2015-08-03      | 2015-04-14       | -111 |
| 2015-04-27      | 2014-12-14       | -134 |
| 2015-09-04      | 2015-04-23       | -134 |
| 2016-03-03      | 2014-10-31       | -489 |
| 2015-01-22      | 2015-02-08       |   17 |
| 2015-04-08      | 2015-01-26       |  -72 |
| 2015-10-11      | 2015-03-10       | -215 |
| 2016-07-10      | 2016-03-08       | -124 |
| 2016-06-11      | 2016-06-26       |   15 |
| 2016-08-06      | 2016-04-02       | -126 |
| 2014-10-16      | 2016-08-10       |  664 |
| 2015-06-20      | 2015-08-05       |   46 |
| 2015-08-05      | 2014-11-10       | -268 |
| 2016-06-16      | 2016-01-23       | -145 |
| 2014-09-30      | 2015-01-06       |   98 |
| 2016-08-11      | 2016-03-30       | -134 |
| 2015-09-15      | 2015-06-12       |  -95 |
| 2016-03-21      | 2016-04-12       |   22 |
| 2014-12-23      | 2015-09-27       |  278 |
| 2014-12-19      | 2015-02-19       |   62 |
| 2016-04-20      | 2015-12-18       | -124 |
| 2014-12-19      | 2016-03-27       |  464 |
| 2015-07-05      | 2014-10-17       | -261 |
| 2016-03-17      | 2015-01-26       | -416 |
| 2016-03-08      | 2015-02-06       | -396 |
| 2014-10-07      | 2015-04-30       |  205 |
| 2016-07-01      | 2015-05-20       | -408 |
| 2015-12-09      | 2016-06-26       |  200 |
| 2015-03-26      | 2015-09-20       |  178 |
| 2014-11-15      | 2015-02-19       |   96 |
| 2016-05-19      | 2015-10-08       | -224 |
| 2015-11-26      | 2016-05-30       |  186 |
| 2015-03-06      | 2015-11-09       |  248 |
| 2015-08-26      | 2016-07-02       |  311 |
| 2015-10-17      | 2016-04-12       |  178 |
| 2015-05-27      | 2015-09-04       |  100 |
| 2015-12-10      | 2015-05-11       | -213 |
| 2014-11-22      | 2015-04-04       |  133 |
| 2015-01-24      | 2015-07-14       |  171 |
| 2015-01-12      | 2015-02-05       |   24 |
| 2015-04-20      | 2014-12-09       | -132 |
| 2016-03-12      | 2015-05-11       | -306 |
| 2015-05-28      | 2015-08-21       |   85 |
| 2014-11-28      | 2015-12-23       |  390 |
| 2015-09-14      | 2015-11-20       |   67 |
| 2015-01-04      | 2015-10-19       |  288 |
| 2015-02-25      | 2015-08-17       |  173 |
| 2016-01-30      | 2015-11-10       |  -81 |
| 2014-12-08      | 2015-10-01       |  297 |
| 2015-10-25      | 2016-09-04       |  315 |
| 2016-04-26      | 2014-11-05       | -538 |
| 2014-10-12      | 2016-07-11       |  638 |
| 2015-10-31      | 2016-01-11       |   72 |
| 2015-07-24      | 2015-05-10       |  -75 |
| 2016-02-08      | 2015-08-31       | -161 |
| 2016-01-07      | 2015-08-30       | -130 |
| 2016-01-01      | 2015-09-21       | -102 |
| 2015-07-11      | 2015-08-22       |   42 |
| 2016-07-29      | 2015-10-22       | -281 |
| 2016-02-10      | 2016-08-27       |  199 |
| 2016-03-24      | 2016-02-17       |  -36 |
| 2016-02-11      | 2015-12-28       |  -45 |
| 2015-03-19      | 2014-12-28       |  -81 |
| 2015-12-04      | 2016-03-02       |   89 |
| 2015-10-19      | 2015-09-20       |  -29 |
| 2016-05-19      | 2015-09-29       | -233 |
| 2014-10-02      | 2016-03-01       |  516 |
| 2015-10-18      | 2014-12-31       | -291 |
| 2016-01-03      | 2015-09-17       | -108 |
| 2016-02-02      | 2015-02-17       | -350 |
| 2014-11-19      | 2015-01-09       |   51 |
| 2014-12-25      | 2016-08-21       |  605 |
| 2016-04-08      | 2016-04-01       |   -7 |
| 2015-07-23      | 2016-03-15       |  236 |
| 2016-08-10      | 2014-09-23       | -687 |
| 2015-08-06      | 2014-11-10       | -269 |
| 2016-02-19      | 2015-03-04       | -352 |
| 2015-07-03      | 2016-06-17       |  350 |
| 2014-11-21      | 2016-02-08       |  444 |
| 2014-11-25      | 2015-10-16       |  325 |
| 2016-02-11      | 2016-03-14       |   32 |
| 2016-07-09      | 2016-04-18       |  -82 |
| 2016-09-09      | 2016-05-17       | -115 |
| 2015-01-07      | 2016-05-27       |  506 |
| 2015-05-17      | 2015-08-30       |  105 |
| 2015-01-12      | 2014-10-24       |  -80 |
| 2015-07-25      | 2014-10-25       | -273 |
| 2015-01-03      | 2016-08-11       |  586 |
| 2014-12-31      | 2014-12-14       |  -17 |
| 2015-08-19      | 2016-03-14       |  208 |
| 2015-04-04      | 2016-06-02       |  425 |
| 2016-06-25      | 2015-07-30       | -331 |
| 2015-10-14      | 2014-11-15       | -333 |
| 2016-04-12      | 2015-05-04       | -344 |
| 2016-02-25      | 2014-10-14       | -499 |
| 2015-09-22      | 2014-11-14       | -312 |
| 2015-07-14      | 2015-05-18       |  -57 |
| 2016-04-09      | 2015-10-19       | -173 |
| 2016-05-25      | 2015-12-17       | -160 |
| 2016-06-24      | 2015-05-15       | -406 |
| 2015-01-02      | 2016-09-16       |  623 |
| 2016-04-19      | 2015-04-28       | -357 |
| 2014-10-22      | 2016-01-08       |  443 |
| 2016-08-28      | 2015-08-26       | -368 |
| 2016-04-18      | 2015-08-28       | -234 |
| 2015-04-13      | 2015-06-16       |   64 |
| 2016-01-24      | 2016-02-24       |   31 |
| 2014-09-18      | 2014-11-10       |   53 |
| 2015-10-17      | 2015-02-10       | -249 |
| 2016-07-18      | 2015-10-10       | -282 |
| 2015-03-25      | 2014-09-18       | -188 |
| 2015-06-03      | 2015-06-23       |   20 |
| 2016-04-22      | 2015-05-20       | -338 |
| 2015-05-11      | 2014-12-08       | -154 |
| 2015-04-11      | 2015-07-30       |  110 |
| 2016-04-12      | 2016-08-30       |  140 |
| 2015-10-10      | 2015-05-10       | -153 |
| 2015-11-04      | 2016-06-29       |  238 |
| 2016-04-30      | 2015-03-26       | -401 |
| 2015-08-27      | 2016-07-03       |  311 |
| 2015-07-17      | 2014-11-18       | -241 |
| 2014-09-28      | 2015-02-08       |  133 |
| 2015-02-16      | 2015-06-25       |  129 |
| 2016-02-28      | 2015-01-16       | -408 |
| 2016-08-05      | 2016-01-04       | -214 |
| 2015-01-12      | 2015-10-12       |  273 |
| 2016-07-29      | 2015-12-06       | -236 |
| 2015-12-01      | 2015-11-14       |  -17 |
| 2015-09-30      | 2015-05-12       | -141 |
| 2016-04-16      | 2015-01-19       | -453 |
| 2015-02-17      | 2016-05-01       |  439 |
| 2016-06-03      | 2016-01-17       | -138 |
| 2015-06-12      | 2015-06-06       |   -6 |
| 2016-03-07      | 2014-12-21       | -442 |
| 2016-09-15      | 2014-10-13       | -703 |
| 2015-04-09      | 2016-06-15       |  433 |
| 2014-11-14      | 2016-03-26       |  498 |
| 2016-04-03      | 2015-08-22       | -225 |
| 2015-03-25      | 2014-11-13       | -132 |
| 2015-08-27      | 2016-07-13       |  321 |
| 2015-09-26      | 2015-01-06       | -263 |
| 2015-04-07      | 2014-10-28       | -161 |
| 2015-11-13      | 2016-01-01       |   49 |
| 2015-03-16      | 2015-02-05       |  -39 |
| 2015-10-23      | 2015-11-26       |   34 |
| 2016-03-22      | 2014-10-02       | -537 |
| 2015-03-31      | 2016-07-21       |  478 |
| 2015-06-20      | 2015-01-03       | -168 |
| 2016-07-06      | 2015-08-04       | -337 |
| 2014-12-25      | 2016-09-14       |  629 |
| 2015-11-28      | 2015-03-12       | -261 |
| 2015-07-13      | 2016-04-18       |  280 |
| 2015-12-21      | 2015-12-20       |   -1 |
| 2015-12-26      | 2015-08-16       | -132 |
| 2016-01-20      | 2015-07-23       | -181 |
| 2016-08-02      | 2015-09-23       | -314 |
| 2016-03-24      | 2015-12-16       |  -99 |
| 2015-04-12      | 2015-01-22       |  -80 |
| 2016-02-01      | 2015-06-21       | -225 |
| 2015-03-29      | 2015-12-11       |  257 |
| 2016-05-05      | 2015-04-05       | -396 |
| 2014-11-27      | 2015-01-08       |   42 |
| 2015-05-16      | 2014-09-20       | -238 |
| 2016-02-29      | 2016-03-24       |   24 |
| 2015-07-18      | 2016-05-20       |  307 |
| 2015-03-07      | 2015-03-03       |   -4 |
| 2015-11-28      | 2014-10-06       | -418 |
| 2015-08-08      | 2015-06-16       |  -53 |
| 2015-08-13      | 2015-03-13       | -153 |
| 2015-03-06      | 2015-09-20       |  198 |
| 2015-04-01      | 2016-01-09       |  283 |
| 2015-01-23      | 2015-05-20       |  117 |
| 2016-07-08      | 2015-07-06       | -368 |
| 2016-03-08      | 2015-04-16       | -327 |
| 2015-05-21      | 2014-12-25       | -147 |
| 2015-06-17      | 2015-04-13       |  -65 |
| 2015-08-23      | 2014-10-02       | -325 |
| 2016-04-27      | 2016-06-16       |   50 |
| 2014-12-11      | 2015-02-20       |   71 |
| 2015-03-13      | 2016-06-06       |  451 |
| 2014-10-27      | 2014-12-10       |   44 |
| 2016-09-14      | 2016-06-29       |  -77 |
| 2016-05-03      | 2016-05-08       |    5 |
| 2015-04-05      | 2014-09-29       | -188 |
| 2015-07-10      | 2015-12-19       |  162 |
| 2016-01-17      | 2015-12-29       |  -19 |
| 2015-05-18      | 2015-04-17       |  -31 |
| 2016-02-03      | 2015-02-07       | -361 |
| 2015-09-18      | 2015-11-14       |   57 |
| 2015-09-07      | 2016-03-09       |  184 |
| 2016-03-16      | 2016-07-28       |  134 |
| 2015-02-23      | 2015-09-03       |  192 |
| 2016-07-07      | 2015-03-05       | -490 |
| 2015-06-24      | 2015-12-10       |  169 |
| 2016-08-30      | 2015-10-09       | -326 |
| 2016-06-13      | 2016-02-26       | -108 |
| 2016-04-02      | 2015-01-04       | -454 |
| 2014-10-31      | 2015-01-20       |   81 |
| 2015-01-20      | 2015-12-12       |  326 |
| 2016-05-09      | 2015-06-26       | -318 |
| 2015-04-08      | 2015-02-18       |  -49 |
| 2016-03-27      | 2016-04-23       |   27 |
| 2016-09-12      | 2016-01-27       | -229 |
| 2015-11-20      | 2014-10-31       | -385 |
| 2016-04-29      | 2015-04-04       | -391 |
| 2016-02-15      | 2016-06-16       |  122 |
| 2016-08-22      | 2015-12-24       | -242 |
| 2015-08-12      | 2014-10-02       | -314 |
| 2014-11-15      | 2014-10-16       |  -30 |
| 2015-01-01      | 2016-02-20       |  415 |
| 2016-04-26      | 2016-03-12       |  -45 |
| 2014-11-11      | 2016-06-02       |  569 |
| 2015-05-06      | 2015-12-24       |  232 |
| 2015-10-29      | 2015-02-09       | -262 |
| 2016-06-29      | 2015-06-27       | -368 |
| 2016-02-09      | 2015-03-22       | -324 |
| 2014-10-05      | 2015-04-18       |  195 |
| 2014-11-26      | 2016-03-09       |  469 |
| 2015-05-16      | 2015-02-15       |  -90 |
| 2014-11-23      | 2015-05-09       |  167 |
| 2015-02-18      | 2015-11-16       |  271 |
| 2016-06-20      | 2015-08-01       | -324 |
| 2015-04-24      | 2014-11-25       | -150 |
| 2016-06-07      | 2016-02-25       | -103 |
| 2015-12-25      | 2015-05-23       | -216 |
| 2016-05-20      | 2015-06-14       | -341 |
| 2016-05-23      | 2015-11-21       | -184 |
| 2015-10-12      | 2016-09-01       |  325 |
| 2015-03-01      | 2014-10-26       | -126 |
| 2016-06-26      | 2016-02-17       | -130 |
| 2016-02-16      | 2014-11-20       | -453 |
| 2016-06-30      | 2014-10-11       | -628 |
| 2015-05-19      | 2015-07-21       |   63 |
| 2015-05-08      | 2015-07-06       |   59 |
| 2016-04-12      | 2014-11-24       | -505 |
| 2015-06-05      | 2016-01-27       |  236 |
| 2015-09-11      | 2015-08-03       |  -39 |
| 2014-12-22      | 2014-10-20       |  -63 |
| 2015-04-01      | 2015-09-02       |  154 |
| 2015-08-20      | 2015-09-12       |   23 |
| 2016-01-30      | 2015-11-21       |  -70 |
| 2015-11-26      | 2015-05-19       | -191 |
| 2014-09-21      | 2015-03-09       |  169 |
| 2016-07-03      | 2015-10-11       | -266 |
| 2015-03-30      | 2016-05-04       |  401 |
| 2016-04-16      | 2016-09-01       |  138 |
| 2015-07-01      | 2015-08-06       |   36 |
| 2016-06-18      | 2015-11-16       | -215 |
| 2015-01-22      | 2016-02-20       |  394 |
| 2015-07-20      | 2015-08-14       |   25 |
| 2015-07-17      | 2015-05-13       |  -65 |
| 2016-08-26      | 2016-07-18       |  -39 |
| 2015-05-14      | 2016-02-03       |  265 |
| 2016-07-14      | 2016-06-24       |  -20 |
| 2015-04-23      | 2016-01-09       |  261 |
| 2015-11-16      | 2015-11-30       |   14 |
| 2016-04-20      | 2016-02-26       |  -54 |
| 2014-09-26      | 2016-07-11       |  654 |
| 2015-12-05      | 2015-05-04       | -215 |
| 2015-01-05      | 2015-07-13       |  189 |
| 2014-09-30      | 2014-09-30       |    0 |
| 2014-12-18      | 2015-02-03       |   47 |
| 2015-06-16      | 2014-11-11       | -217 |
| 2015-01-09      | 2015-07-07       |  179 |
| 2015-01-27      | 2015-08-17       |  202 |
| 2015-12-16      | 2014-10-29       | -413 |
| 2016-08-11      | 2015-12-10       | -245 |
| 2015-09-21      | 2016-07-12       |  295 |
| 2015-05-12      | 2016-03-07       |  300 |
| 2015-05-12      | 2015-03-22       |  -51 |
| 2015-07-11      | 2015-04-25       |  -77 |
| 2015-05-24      | 2015-12-22       |  212 |
| 2015-12-02      | 2014-10-29       | -399 |
| 2015-03-09      | 2014-09-27       | -163 |
| 2016-06-12      | 2015-05-14       | -395 |
| 2016-06-30      | 2014-12-07       | -571 |
| 2016-05-16      | 2015-11-17       | -181 |
| 2015-01-25      | 2014-12-24       |  -32 |
| 2015-10-28      | 2015-12-07       |   40 |
| 2015-09-04      | 2016-08-05       |  336 |
| 2014-10-15      | 2014-12-09       |   55 |
| 2014-12-13      | 2016-06-12       |  547 |
| 2014-11-26      | 2015-09-19       |  297 |
| 2015-06-28      | 2015-11-28       |  153 |
| 2015-01-13      | 2015-12-11       |  332 |
| 2015-06-12      | 2015-02-12       | -120 |
| 2016-01-21      | 2014-11-05       | -442 |
| 2015-05-23      | 2015-08-18       |   87 |
| 2015-02-08      | 2016-06-29       |  507 |
| 2016-06-07      | 2015-03-11       | -454 |
| 2016-05-13      | 2015-04-24       | -385 |
| 2015-12-29      | 2016-07-11       |  195 |
| 2015-03-26      | 2015-08-29       |  156 |
| 2015-12-09      | 2015-03-22       | -262 |
| 2014-11-17      | 2016-09-01       |  654 |
| 2016-04-23      | 2015-05-03       | -356 |
| 2014-12-12      | 2014-10-08       |  -65 |
| 2015-01-31      | 2015-03-16       |   44 |
| 2016-05-28      | 2015-03-22       | -433 |
| 2016-06-16      | 2016-07-11       |   25 |
| 2016-07-15      | 2015-02-24       | -507 |
| 2015-05-30      | 2016-02-29       |  275 |
| 2014-10-14      | 2015-02-02       |  111 |
| 2014-11-10      | 2015-02-23       |  105 |
| 2015-04-13      | 2016-05-01       |  384 |
| 2015-06-27      | 2016-01-21       |  208 |
| 2016-02-17      | 2015-02-06       | -376 |
| 2015-02-20      | 2015-01-19       |  -32 |
| 2015-11-10      | 2016-01-17       |   68 |
| 2016-02-28      | 2015-12-30       |  -60 |
| 2016-06-05      | 2015-04-20       | -412 |
| 2014-11-05      | 2015-05-18       |  194 |
| 2015-10-13      | 2015-09-23       |  -20 |
| 2014-11-25      | 2015-06-06       |  193 |
| 2014-11-04      | 2016-08-19       |  654 |
| 2016-02-28      | 2015-06-12       | -261 |
| 2015-03-27      | 2015-10-27       |  214 |
| 2016-03-05      | 2014-12-04       | -457 |
| 2016-02-24      | 2015-04-10       | -320 |
| 2015-05-13      | 2016-01-09       |  241 |
| 2015-11-20      | 2015-10-07       |  -44 |
| 2015-10-17      | 2016-01-26       |  101 |
| 2016-09-04      | 2014-12-23       | -621 |
| 2014-12-11      | 2016-06-26       |  563 |
| 2016-07-21      | 2016-02-21       | -151 |
| 2016-07-04      | 2016-05-08       |  -57 |
| 2015-02-17      | 2015-04-28       |   70 |
| 2015-02-02      | 2016-04-20       |  443 |
| 2014-11-29      | 2016-07-28       |  607 |
| 2016-05-08      | 2014-10-08       | -578 |
| 2016-05-26      | 2014-09-19       | -615 |
| 2015-04-24      | 2015-03-14       |  -41 |
| 2015-08-10      | 2015-02-11       | -180 |
| 2016-04-18      | 2015-09-11       | -220 |
| 2016-03-26      | 2015-01-31       | -420 |
| 2015-06-20      | 2016-09-06       |  444 |
| 2015-08-25      | 2015-04-17       | -130 |
| 2014-11-24      | 2016-03-28       |  490 |
| 2016-01-04      | 2016-02-26       |   53 |
| 2015-05-22      | 2016-01-22       |  245 |
| 2016-04-11      | 2015-10-02       | -192 |
| 2015-06-07      | 2015-10-13       |  128 |
| 2015-09-02      | 2015-11-22       |   81 |
| 2016-01-28      | 2015-03-13       | -321 |
| 2016-08-27      | 2015-01-14       | -591 |
| 2016-04-10      | 2015-07-01       | -284 |
| 2015-07-23      | 2015-05-10       |  -74 |
| 2016-04-16      | 2015-06-12       | -309 |
| 2014-10-18      | 2015-10-06       |  353 |
| 2016-03-17      | 2015-07-31       | -230 |
| 2015-11-18      | 2015-03-10       | -253 |
| 2016-01-28      | 2016-04-14       |   77 |
+-----------------+------------------+------+
